OBJECTID;weight;node_id;nps_dn;p_max
188;5760000.000000000000000;GS-4541;300;64
189;17500000.000000000000000;GS-7225;500;70
190;675000.000000000000000;GS-4551;100;68
191;6075000.000000000000000;GS-4425;300;68
192;6075000.000000000000000;GS-4394;300;68
193;57600000.000000000000000;GS-3968;800;90
194;10800000.000000000000000;GS-7289;400;68
195;2560000.000000000000000;GS-4684;200;64
196;680000.000000000000000;GS-2373;100;68
197;6075000.000000000000000;GS-4657;300;68
198;6300000.000000000000000;GS-7199;300;70
199;6075000.000000000000000;GS-4416;300;68
200;15750000.000000000000000;GS-6456;500;63
201;33075000.000000000000000;GS-7257;700;68
202;6250000.000000000000000;GS-6405;500;25
203;1518750.000000000000000;GS-4681;150;68
204;15750000.000000000000000;GS-6478;500;63
205;2700000.000000000000000;GS-4669;200;68
206;2700000.000000000000000;GS-4509;200;68
207;2700000.000000000000000;GS-4710;200;68
208;2700000.000000000000000;GS-4665;200;68
209;25200000.000000000000000;GS-7202;600;70
210;2560000.000000000000000;GS-4660;200;64
211;562500.000000000000000;GS-4647;150;25
212;1575000.000000000000000;GS-7242;150;70
213;1518750.000000000000000;GS-4458;150;68
214;57600000.000000000000000;GS-3993;800;90
215;160000.000000000000000;GS-4449;100;16
216;2700000.000000000000000;GS-4474;200;68
217;2700000.000000000000000;GS-4586;200;68
218;2700000.000000000000000;GS-4482;200;68
219;2700000.000000000000000;GS-4576;200;68
220;2700000.000000000000000;GS-4480;200;68
221;9000000.000000000000000;GS-6819;600;25
222;196000000.000000000000000;GS-3965;1400;100
223;22680000.000000000000000;GS-6842;600;63
224;30240000.000000000000000;GS-0778;600;84
225;64000000.000000000000000;GS-3958;800;100
226;64000000.000000000000000;GS-3991;800;100
227;360000.000000000000000;GS-0876;150;16
228;1440000.000000000000000;GS-1362;300;16
229;1440000.000000000000000;GS-2197;300;16
230;6400000.000000000000000;GS-3453;400;40
231;68000000.000000000000000;GS-3482;1000;68
